Timestamp; Temperature; Humidity
17:35; 23,0; 48,1
17:37; 23,0; 47,8
17:39; 23,0; 47,7
17:41; 23,1; 47,8
17:43; 23,1; 47,8
17:45; 23,2; 47,7
17:47; 23,2; 47,7
17:49; 23,2; 47,6
17:51; 23,2; 47,7
17:53; 23,3; 47,7
17:55; 23,3; 47,4
17:57; 23,3; 47,3
17:59; 23,3; 47,6
18:01; 23,3; 48,0
18:03; 23,2; 47,3
18:05; 23,2; 47,3
18:07; 23,2; 47,3
18:09; 23,2; 46,9
18:11; 23,0; 45,4
18:13; 22,9; 45,0
18:15; 22,8; 45,6
18:17; 22,8; 45,7
18:19; 22,9; 46,0
18:21; 22,9; 46,1
18:23; 22,9; 46,2
18:25; 23,0; 46,3
18:27; 22,9; 46,4
18:29; 23,0; 46,6
18:31; 23,0; 47,1
18:33; 23,0; 46,9
18:35; 23,1; 46,8
18:37; 23,1; 47,1
18:39; 23,1; 47,2
18:41; 23,2; 47,2
18:43; 23,2; 47,3
18:45; 23,2; 47,4
18:47; 23,2; 47,3
18:49; 23,3; 47,4
18:51; 23,3; 47,2
18:53; 23,3; 47,5
18:55; 23,3; 47,5
18:57; 23,3; 47,4
18:59; 23,3; 47,1
19:01; 23,4; 46,9
19:03; 23,4; 46,8
19:05; 23,5; 46,8
19:07; 23,5; 47,0
19:09; 23,4; 47,1
19:11; 23,4; 47,1
19:13; 23,4; 47,2
19:15; 23,4; 47,2
19:17; 23,4; 47,4
19:19; 23,4; 47,1
19:21; 23,5; 47,0
19:23; 23,4; 47,1
19:25; 23,4; 47,0
19:27; 23,4; 47,1
19:29; 23,4; 47,0
19:31; 23,4; 47,1
19:33; 23,4; 47,1
19:35; 23,4; 47,2
19:37; 23,5; 47,1
19:39; 23,5; 46,9
19:41; 23,5; 46,8
19:43; 23,5; 46,7
19:45; 23,5; 46,5
19:47; 23,5; 46,6
19:49; 23,6; 46,2
19:51; 23,6; 46,3
19:53; 23,6; 46,4
19:55; 23,6; 46,4
19:57; 23,7; 46,4
19:59; 23,7; 46,4
20:01; 23,7; 46,4
20:03; 23,7; 46,7
20:05; 23,7; 47,1
20:07; 23,7; 47,1
20:09; 23,7; 46,9
20:11; 23,7; 46,9
20:13; 23,8; 47,1
20:15; 23,7; 47,0
20:17; 23,8; 47,2
20:19; 23,9; 49,1
20:21; 23,8; 47,3
20:23; 23,8; 47,1
20:25; 23,8; 47,3
20:27; 23,8; 47,3
20:29; 23,8; 47,4
20:31; 23,7; 47,5
20:33; 23,8; 47,6
20:35; 23,8; 47,4
20:37; 23,8; 47,5
20:39; 23,8; 47,6
20:41; 23,8; 47,7
20:43; 23,8; 47,7
20:45; 23,7; 47,8
20:47; 23,7; 47,8
20:49; 23,7; 47,9
20:51; 23,7; 48,1
20:53; 23,7; 48,0
20:55; 23,6; 48,1
20:57; 23,6; 48,6
20:59; 23,6; 48,9
21:01; 23,6; 49,1
21:03; 23,6; 49,3
21:05; 23,6; 49,4
21:07; 23,6; 49,5
21:09; 23,6; 49,6
21:11; 23,6; 49,6
21:13; 23,6; 49,6
21:15; 23,6; 49,7
21:17; 23,6; 49,7
21:19; 23,6; 49,7
21:21; 23,6; 49,7
21:23; 23,6; 49,7
21:25; 23,5; 49,7
21:27; 23,5; 49,7
21:29; 23,5; 49,7
21:31; 23,5; 49,8
23:10; 23,2; 48,9
23:12; 23,1; 48,7
23:14; 23,1; 48,6
23:16; 23,1; 48,7
23:18; 23,1; 48,5
23:20; 23,1; 48,5
23:22; 23,1; 48,5
23:24; 23,1; 48,5
23:26; 23,1; 48,5
23:28; 23,1; 48,3
23:30; 23,2; 48,5
23:32; 23,2; 48,4
23:34; 23,2; 48,1
23:36; 23,2; 48,0
23:38; 23,3; 47,8
23:40; 23,3; 47,6
23:42; 23,3; 47,6
23:44; 23,3; 47,4
23:46; 23,3; 47,4
23:48; 23,3; 47,2
23:50; 23,4; 47,3
23:52; 23,4; 47,1
23:54; 23,4; 46,8
23:56; 23,4; 46,9
23:58; 23,4; 47,1
