Timestamp; Temperature; Humidity
22:44; 23,5; 38,4
22:46; 23,5; 36,1
22:48; 23,3; 35,1
22:50; 23,2; 35,7
22:52; 23,2; 35,3
22:54; 23,7; 38,2
22:56; 23,6; 34,8
22:58; 23,5; 34,7
23:00; 23,7; 35,8
23:02; 23,3; 34,1
23:04; 23,1; 33,8
23:06; 22,9; 33,6
23:08; 22,9; 33,8
23:10; 22,8; 33,8
23:12; 22,7; 33,8
23:14; 22,7; 33,8
23:16; 22,7; 33,8
23:18; 22,6; 34,2
23:20; 22,7; 34,7
23:22; 22,7; 34,6
23:24; 22,7; 35,3
23:26; 22,7; 35,5
23:28; 22,7; 35,9
23:30; 22,7; 36,7
23:32; 22,7; 37,5
23:34; 22,7; 37,2
23:36; 22,7; 36,8
23:38; 22,6; 36,8
23:40; 22,6; 36,9
23:42; 22,6; 36,9
23:44; 22,6; 37,0
23:46; 22,3; 34,0
23:48; 22,3; 34,5
23:50; 22,4; 35,5
23:52; 22,4; 35,4
23:54; 22,5; 35,6
23:56; 22,5; 35,9
23:58; 22,6; 37,2
